material,condition,C_min,C_max,preferred_C,source,status,notes
ABS,typical,130,130,130,ENGINEERING_TOOLBOX_HW,SECONDARY,
Aluminum,typical,130,150,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Asbestos cement,typical,140,140,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
Asphalt-lined pipe,typical,130,140,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Brass,typical,130,140,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Brick sewer,typical,90,100,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,"new, unlined",130,130,130,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,10 years old,107,113,110,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,20 years old,89,100,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,30 years old,75,90,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,40 years old,64,83,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,asphalt coated,100,100,100,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,cement lined,140,140,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,bituminous lined,140,140,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cast iron,sea coated,120,120,120,ENGINEERING_TOOLBOX_HW,SECONDARY,
Cement lining,typical,130,140,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Concrete,typical,100,140,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Concrete,old,100,110,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Concrete,"lined, steel forms",140,140,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
Concrete,"lined, wooden forms",120,120,120,ENGINEERING_TOOLBOX_HW,SECONDARY,
Copper,typical,130,140,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Corrugated metal,typical,60,60,60,ENGINEERING_TOOLBOX_HW,SECONDARY,
Ductile iron,cement-mortar lined,140,140,140,DIPRA_C_VALUE,PRIMARY_INDUSTRY_REFERENCE,
Ductile iron,typical secondary table,140,140,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
Fiber cement,typical,140,140,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
Fiberglass / FRP,typical,150,150,150,ENGINEERING_TOOLBOX_HW,SECONDARY,
Galvanized iron,typical,120,120,120,ENGINEERING_TOOLBOX_HW,SECONDARY,
Glass,typical,130,130,130,ENGINEERING_TOOLBOX_HW,SECONDARY,
Lead,typical,130,140,,ENGINEERING_TOOLBOX_HW,SECONDARY,
PE / polyethylene,typical,140,140,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
PVC / CPVC,typical,150,150,150,ENGINEERING_TOOLBOX_HW,SECONDARY,
Plastic,general typical,130,150,150,ENGINEERING_TOOLBOX_HW,SECONDARY,
Steel,"new, unlined",140,150,140,ENGINEERING_TOOLBOX_HW,SECONDARY,
Steel,badly corroded / very rough,100,100,100,ASHRAE_F25_CH22,PRIMARY_GENERAL_REFERENCE,ASHRAE states values can be 100 and below for badly corroded or very rough pipe. This is not a hard lower limit.
Steel,very rough / badly corroded,60,100,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Steel,corrugated,60,60,60,ENGINEERING_TOOLBOX_HW,SECONDARY,
Steel,"riveted, no projecting rivets",110,110,110,ENGINEERING_TOOLBOX_HW,SECONDARY,
Steel,projecting girth/horizontal rivets,100,100,100,ENGINEERING_TOOLBOX_HW,SECONDARY,
Steel,vitrified spiral-riveted,90,110,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Vitrified clay,typical,110,110,110,ENGINEERING_TOOLBOX_HW,SECONDARY,
Wrought iron,plain,100,100,100,ENGINEERING_TOOLBOX_HW,SECONDARY,
Wood / masonry pipe,smooth,120,120,120,ENGINEERING_TOOLBOX_HW,SECONDARY,
Wood stave,typical,110,120,,ENGINEERING_TOOLBOX_HW,SECONDARY,
Plastic pipe,typical,150,150,150,ASHRAE_F25_CH22,PRIMARY_GENERAL_REFERENCE,
Copper tubing,typical,150,150,150,ASHRAE_F25_CH22,PRIMARY_GENERAL_REFERENCE,
Steel pipe,new,140,140,140,ASHRAE_F25_CH22,PRIMARY_GENERAL_REFERENCE,
