material,nominal_size,standard,series,pressure_class,OD_mm,wall_mm,ID_mm,OD_in,wall_in,ID_in,source_id
MS/carbon steel,1/2,ASME B36.10,SCH 40,,21.336,2.769,15.798,0.84,0.109,0.622,ASME_B36_10_2022
MS/carbon steel,1/2,ASME B36.10,SCH 80,,21.336,3.734,13.868,0.84,0.147,0.546,ASME_B36_10_2022
MS/carbon steel,3/4,ASME B36.10,SCH 40,,26.67,2.87,20.93,1.05,0.113,0.824,ASME_B36_10_2022
MS/carbon steel,3/4,ASME B36.10,SCH 80,,26.67,3.912,18.846,1.05,0.154,0.742,ASME_B36_10_2022
MS/carbon steel,1,ASME B36.10,SCH 40,,33.401,3.378,26.645,1.315,0.133,1.049,ASME_B36_10_2022
MS/carbon steel,1,ASME B36.10,SCH 80,,33.401,4.547,24.307,1.315,0.179,0.957,ASME_B36_10_2022
MS/carbon steel,1-1/4,ASME B36.10,SCH 40,,42.164,3.556,35.052,1.66,0.14,1.38,ASME_B36_10_2022
MS/carbon steel,1-1/4,ASME B36.10,SCH 80,,42.164,4.851,32.462,1.66,0.191,1.278,ASME_B36_10_2022
MS/carbon steel,1-1/2,ASME B36.10,SCH 40,,48.26,3.683,40.894,1.9,0.145,1.61,ASME_B36_10_2022
MS/carbon steel,1-1/2,ASME B36.10,SCH 80,,48.26,5.08,38.1,1.9,0.2,1.5,ASME_B36_10_2022
MS/carbon steel,2,ASME B36.10,SCH 40,,60.325,3.912,52.501,2.375,0.154,2.067,ASME_B36_10_2022
MS/carbon steel,2,ASME B36.10,SCH 80,,60.325,5.537,49.251,2.375,0.218,1.939,ASME_B36_10_2022
MS/carbon steel,2-1/2,ASME B36.10,SCH 40,,73.025,5.156,62.713,2.875,0.203,2.469,ASME_B36_10_2022
MS/carbon steel,2-1/2,ASME B36.10,SCH 80,,73.025,7.01,59.005,2.875,0.276,2.323,ASME_B36_10_2022
MS/carbon steel,3,ASME B36.10,SCH 40,,88.9,5.486,77.928,3.5,0.216,3.068,ASME_B36_10_2022
MS/carbon steel,3,ASME B36.10,SCH 80,,88.9,7.62,73.66,3.5,0.3,2.9,ASME_B36_10_2022
MS/carbon steel,3-1/2,ASME B36.10,SCH 40,,101.6,5.74,90.12,4.0,0.226,3.548,ASME_B36_10_2022
MS/carbon steel,3-1/2,ASME B36.10,SCH 80,,101.6,8.077,85.446,4.0,0.318,3.364,ASME_B36_10_2022
MS/carbon steel,4,ASME B36.10,SCH 40,,114.3,6.02,102.26,4.5,0.237,4.026,ASME_B36_10_2022
MS/carbon steel,4,ASME B36.10,SCH 80,,114.3,8.56,97.18,4.5,0.337,3.826,ASME_B36_10_2022
MS/carbon steel,5,ASME B36.10,SCH 40,,141.3,6.553,128.194,5.563,0.258,5.047,ASME_B36_10_2022
MS/carbon steel,5,ASME B36.10,SCH 80,,141.3,9.525,122.25,5.563,0.375,4.813,ASME_B36_10_2022
MS/carbon steel,6,ASME B36.10,SCH 40,,168.275,7.112,154.051,6.625,0.28,6.065,ASME_B36_10_2022
MS/carbon steel,6,ASME B36.10,SCH 80,,168.275,10.973,146.329,6.625,0.432,5.761,ASME_B36_10_2022
MS/carbon steel,8,ASME B36.10,SCH 40,,219.075,8.179,202.717,8.625,0.322,7.981,ASME_B36_10_2022
MS/carbon steel,8,ASME B36.10,SCH 80,,219.075,12.7,193.675,8.625,0.5,7.625,ASME_B36_10_2022
MS/carbon steel,10,ASME B36.10,SCH 40,,273.05,9.271,254.508,10.75,0.365,10.02,ASME_B36_10_2022
